section;wkt
582;LINESTRING(99.139285 25.598182,99.118386 25.625795)
584;LINESTRING(99.477291 25.1443,99.486528 25.130901)
585;LINESTRING(99.486528 25.130901,99.477291 25.1443)
587;LINESTRING(99.320412 24.520941,99.30042 24.451726)
587;LINESTRING(99.320412 24.520941,99.305733 24.493712)
588;LINESTRING(99.30042 24.451726,99.320412 24.520941)
588;LINESTRING(99.30042 24.451726,99.262839 24.452548)
591;LINESTRING(99.305733 24.493712,99.320412 24.520941)
591;LINESTRING(99.262839 24.452548,99.30042 24.451726)
593;LINESTRING(98.770227 24.153668,98.770227 24.153668)
593;LINESTRING(98.770227 24.153668,98.770227 24.153668)
594;LINESTRING(98.770227 24.153668,98.770227 24.153668)
594;LINESTRING(98.631319 24.102606,98.607649 24.13599)
594;LINESTRING(98.770227 24.153668,98.770227 24.153668)
599;LINESTRING(97.033736 23.424926,97.033736 23.424926)
605;LINESTRING(98.675383 25.184414,98.675383 25.184414)
605;LINESTRING(98.662356 25.229661,98.639001 25.218633)
605;LINESTRING(98.662356 25.229661,98.576955 25.200261)
606;LINESTRING(100.014548 26.103844,100.02832 26.080274)
607;LINESTRING(98.453786 24.385123,98.423557 24.460223)
608;LINESTRING(98.002578 24.121114,98.009647 24.075857)
608;LINESTRING(98.05428 24.146817,98.090791 24.087449)
609;LINESTRING(97.83939 24.030068,97.83939 24.030068)
609;LINESTRING(97.83939 24.030068,97.83939 24.030068)
609;LINESTRING(98.002578 24.121114,98.090791 24.087449)
610;LINESTRING(98.279216 24.798149,98.279216 24.798149)
610;LINESTRING(98.279216 24.798149,98.279216 24.798149)
611;LINESTRING(98.25347 24.730423,98.279216 24.798149)
611;LINESTRING(98.25347 24.730423,98.23509 24.792503)
615;LINESTRING(97.462968 23.825479,97.516365 23.806516)
615;LINESTRING(97.615078 23.994159,97.677971 23.930957)
615;LINESTRING(97.462968 23.825479,97.440352 23.78997)
615;LINESTRING(97.462968 23.825479,97.476468 23.798332)
616;LINESTRING(97.516365 23.806516,97.543444 23.729897)
616;LINESTRING(97.564378 23.842993,97.614431 23.778339)
616;LINESTRING(97.516365 23.806516,97.440352 23.78997)
616;LINESTRING(97.516365 23.806516,97.462968 23.825479)
616;LINESTRING(97.516365 23.806516,97.516365 23.806516)
617;LINESTRING(97.83939 24.030068,97.83939 24.030068)
617;LINESTRING(97.677971 23.930957,97.615078 23.994159)
617;LINESTRING(97.83939 24.030068,97.83939 24.030068)
618;LINESTRING(98.009647 24.075857,98.002578 24.121114)
618;LINESTRING(97.83939 24.030068,97.83939 24.030068)
618;LINESTRING(97.83939 24.030068,97.83939 24.030068)
619;LINESTRING(98.090791 24.087449,98.05428 24.146817)
619;LINESTRING(98.090791 24.087449,98.002578 24.121114)
620;LINESTRING(98.607649 24.13599,98.631319 24.102606)
621;LINESTRING(98.770227 24.153668,98.770227 24.153668)
621;LINESTRING(98.770227 24.153668,98.770227 24.153668)
622;LINESTRING(100.088237 24.421298,100.088237 24.421298)
622;LINESTRING(100.088237 24.421298,100.128315 24.460933)
622;LINESTRING(100.088237 24.421298,100.088237 24.421298)
622;LINESTRING(100.088237 24.421298,100.119331 24.399758)
622;LINESTRING(99.92054 24.233894,100.002852 24.198296)
623;LINESTRING(99.92054 24.233894,100.002852 24.198296)
623;LINESTRING(99.92054 24.233894,100.002852 24.198296)
623;LINESTRING(99.776615 24.09121,99.8554704 24.038791200000002)
624;LINESTRING(99.721318 24.033399,99.8019852 23.9824536)
626;LINESTRING(99.12221699999999 23.608394666666666,99.060027 23.57431)
627;LINESTRING(99.083631 23.585767,99.060027 23.57431)
628;LINESTRING(99.060027 23.57431,99.12221699999999 23.608394666666666)
628;LINESTRING(99.060027 23.57431,99.083631 23.585767)
633;LINESTRING(96.695968 23.149892,96.699492 23.080813)
634;LINESTRING(96.699492 23.080813,96.695968 23.149892)
637;LINESTRING(97.546765 24.422712,97.524428 24.438571)
638;LINESTRING(97.588661 24.436826,97.537833 24.460964)
639;LINESTRING(97.961424 24.654036,97.961424 24.654036)
639;LINESTRING(97.961424 24.654036,97.947458 24.686423)
640;LINESTRING(97.630299 26.348793,97.584483 26.354027)
645;LINESTRING(97.524428 24.438571,97.546765 24.422712)
