#,,,,,,,"generated_by='OpenQuake engine 3.13.0-git5456bd25a7', start_date='2021-09-29T16:09:23', checksum=1834546322, kind='mean', investigation_time=1.0"
lon,lat,PGA-0.002105,PGA-0.000404,SA(0.1)-0.002105,SA(0.1)-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404
102.92097,29.04111,4.146024E-02,7.002614E-02,8.408801E-02,1.463748E-01,3.100547E-02,5.572110E-02
102.92239,29.17601,4.007806E-02,7.035454E-02,7.898627E-02,1.434224E-01,3.159564E-02,5.772835E-02
102.92381,29.31091,4.223570E-02,7.764208E-02,8.396520E-02,1.603954E-01,3.328872E-02,6.239155E-02
102.92525,29.44581,4.932000E-02,9.237533E-02,1.027050E-01,1.993934E-01,3.685336E-02,7.131532E-02
102.92670,29.58071,6.202490E-02,1.160762E-01,1.353092E-01,2.597064E-01,4.316944E-02,8.591072E-02
102.92815,29.71561,8.311101E-02,1.528717E-01,1.885832E-01,3.530961E-01,5.465193E-02,1.103088E-01
102.92962,29.85050,1.122996E-01,2.019779E-01,2.616503E-01,4.765092E-01,7.147479E-02,1.444748E-01
102.93109,29.98540,1.887411E-01,3.214148E-01,4.522494E-01,7.928264E-01,1.171862E-01,2.324125E-01
102.93258,30.12030,3.861596E-01,6.187339E-01,9.403576E-01,1.565107E+00,2.401970E-01,4.566214E-01
102.93408,30.25520,6.125551E-01,9.575583E-01,1.521385E+00,2.422504E+00,3.922760E-01,7.145312E-01
102.93558,30.39010,2.888000E-01,4.592898E-01,7.007741E-01,1.148420E+00,1.851361E-01,3.456611E-01
102.93710,30.52500,2.300639E-01,3.826066E-01,5.607393E-01,9.352034E-01,1.403446E-01,2.659212E-01
102.93863,30.65989,1.964317E-01,3.323900E-01,4.729359E-01,8.181680E-01,1.155780E-01,2.218596E-01
102.94016,30.79479,1.524649E-01,2.634656E-01,3.606043E-01,6.318634E-01,9.389260E-02,1.803124E-01
102.94171,30.92969,1.222541E-01,2.159678E-01,2.847249E-01,5.074092E-01,7.855630E-02,1.515264E-01
102.94327,31.06459,1.020819E-01,1.815800E-01,2.296532E-01,4.192349E-01,6.742033E-02,1.299789E-01
102.94484,31.19949,8.778018E-02,1.594889E-01,1.946173E-01,3.607371E-01,5.988099E-02,1.160029E-01
