#,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.13.0-git5456bd25a7', start_date='2021-09-29T16:57:54', checksum=456785265, kind='mean', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0050000,poe-0.0070015,poe-0.0098041,poe-0.0137286,poe-0.0192240,poe-0.0269192,poe-0.0376948,poe-0.0527836,poe-0.0739125,poe-0.1034991,poe-0.1449289,poe-0.2029427,poe-0.2841789,poe-0.3979333,poe-0.5572227,poe-0.7802743,poe-1.0926116,poe-1.5299748,poe-2.1424109,poe-3.0000000
102.31004,30.39010,0.00000,9.600559E-02,7.513881E-02,5.684154E-02,4.145021E-02,2.900748E-02,1.933487E-02,1.214049E-02,7.081109E-03,3.767961E-03,1.796311E-03,7.520055E-04,2.704687E-04,8.179574E-05,2.015270E-05,3.652368E-06,4.166384E-07,5.663951E-08,1.049791E-08,1.447053E-09,1.028376E-10
102.31069,30.52500,0.00000,8.773139E-02,6.683955E-02,4.910110E-02,3.461389E-02,2.325739E-02,1.475527E-02,8.736631E-03,4.755542E-03,2.343859E-03,1.026646E-03,3.916168E-04,1.271787E-04,3.413811E-05,7.104090E-06,1.118284E-06,1.668643E-07,3.794023E-08,7.107201E-09,9.776753E-10,7.330481E-11
102.31135,30.65989,0.00000,8.107401E-02,6.065508E-02,4.364509E-02,3.001950E-02,1.957643E-02,1.198558E-02,6.806741E-03,3.539427E-03,1.657656E-03,6.857660E-04,2.444868E-04,7.284187E-05,1.718574E-05,3.053667E-06,4.256040E-07,8.910502E-08,2.065351E-08,3.952199E-09,5.511407E-10,4.276612E-11
102.31200,30.79479,0.00000,7.401585E-02,5.438298E-02,3.832811E-02,2.572664E-02,1.629751E-02,9.646004E-03,5.275065E-03,2.631585E-03,1.176307E-03,4.592267E-04,1.516450E-04,4.008339E-05,7.856549E-06,1.005992E-06,1.130032E-07,2.583767E-08,5.441418E-09,9.626067E-10,1.217922E-10,6.883827E-12
102.31267,30.92969,0.00000,6.715325E-02,4.844635E-02,3.343780E-02,2.190906E-02,1.350146E-02,7.748073E-03,4.097850E-03,1.970369E-03,8.417434E-04,3.093401E-04,9.342321E-05,2.134595E-05,3.232483E-06,2.214059E-07,2.126461E-08,4.755691E-09,9.574483E-10,1.634327E-10,2.421841E-11,2.717382E-12
102.31333,31.06459,0.00000,6.101372E-02,4.324805E-02,2.925908E-02,1.874607E-02,1.127210E-02,6.303036E-03,3.242839E-03,1.509769E-03,6.184151E-04,2.144787E-04,5.922175E-05,1.182086E-05,1.348518E-06,5.544151E-08,5.275537E-09,7.313606E-10,1.054133E-10,1.285483E-11,1.255662E-12,7.582823E-14
102.31401,31.19949,0.00000,5.637059E-02,3.931016E-02,2.612805E-02,1.642249E-02,9.685591E-03,5.311024E-03,2.678863E-03,1.218866E-03,4.850022E-04,1.616641E-04,4.234307E-05,7.917698E-06,8.149109E-07,5.672885E-08,5.000583E-09,1.047441E-10,1.845879E-11,4.003908E-12,6.795675E-13,3.064216E-14
102.31468,31.33438,0.00000,5.298010E-02,3.640373E-02,2.381842E-02,1.473233E-02,8.550893E-03,4.619329E-03,2.295214E-03,1.027408E-03,4.013830E-04,1.310763E-04,3.400287E-05,6.529737E-06,8.577815E-07,1.263131E-07,1.698614E-08,1.355609E-09,1.242995E-11,3.020251E-12,5.200285E-13,4.440892E-16
102.31537,31.46928,0.00000,4.980491E-02,3.369391E-02,2.169151E-02,1.319890E-02,7.542865E-03,4.019497E-03,1.973058E-03,8.738065E-04,3.388954E-04,1.108648E-04,2.985212E-05,6.509651E-06,1.276902E-06,2.898305E-07,5.795716E-08,8.820146E-09,5.905361E-10,8.276713E-13,1.217915E-13,0.000000E+00
102.31606,31.60418,0.00000,4.689609E-02,3.122597E-02,1.977330E-02,1.183684E-02,6.662938E-03,3.504203E-03,1.702149E-03,7.487038E-04,2.905459E-04,9.718920E-05,2.822452E-05,7.420118E-06,2.050588E-06,6.193197E-07,1.726018E-07,4.146426E-08,7.541912E-09,5.030908E-10,0.000000E+00,0.000000E+00
102.31674,31.73908,0.00000,4.422506E-02,2.897775E-02,1.804642E-02,1.062573E-02,5.891293E-03,3.058302E-03,1.470297E-03,6.432240E-04,2.514606E-04,8.768231E-05,2.828891E-05,9.027161E-06,3.144638E-06,1.155070E-06,4.159546E-07,1.387394E-07,3.843166E-08,7.585593E-09,5.491814E-10,0.000000E+00
102.31744,31.87398,0.00000,4.191433E-02,2.703531E-02,1.656621E-02,9.600625E-03,5.245306E-03,2.688418E-03,1.280222E-03,5.592014E-04,2.226447E-04,8.255401E-05,2.987445E-05,1.109282E-05,4.289116E-06,1.601791E-06,5.440567E-07,1.583788E-07,3.566712E-08,5.093772E-09,0.000000E+00,0.000000E+00
